Weight,Minimum BCS,Maximum BCS,Breed,Breed Grade,Horn,Udder,Skin Coat,Cleft,Teat,Worm Load,Wound,Rumination,Animal Alertness,BCS,Buying Recommendation,Breeding Capacity,Interpretations(English),Interpretations(Hindi),Interpretations(Kannada),Recommendation(English),Recommendation(Hindi),Recommendation(Kannada)
None,None,None,None,None,None,None,None,Clefted-Slightly,None,None,None,None,None,None,N/A,N/A,Indicates their Milk Production Capacity is Average,यह बताता है कि उनकी दूध देने की  क्षमता औसत है।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಸ್ವಲ್ಪ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಕಡಿಮೆ ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Indicates their Milk Production Capacity is Average,यह दर्शाता है कि उनकी  दूध देने की क्षमता औसत है। ,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಸ್ವಲ್ಪ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಕಡಿಮೆ ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
None,None,None,None,None,None,None,None,Clefted-Moderate,None,None,None,None,None,None,N/A,N/A,Indicates their Milk Production Capacity is Good,यह बताता है कि उनकी दूध  देने की  क्षमता अच्छी है।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಮಧ್ಯಮ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಉತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Indicates their Milk Production Capacity is Good,यह दर्शाता है कि उनकी दूध देने की क्षमता अच्छी है। ,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಮಧ್ಯಮ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಉತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
None,None,None,None,None,None,None,None,Clefted-Deep,None,None,None,None,None,None,N/A,N/A,Indicates their Milk Production Capacity is Better & High milk producer,यह बताता है कि उनकी दूध  देने की क्षमता बेहतर है और वे अच्छे मात्रा मे दूध देते हैं।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ದೀರ್ಘ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಅತ್ಯುತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Indicates their Milk Production Capacity is Better & High milk producer,यह बताता है कि उनकी दूध देने की क्षमता बेहतर है और वे ज्यादा दूध देने की क्षमता रखते हैं।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ದೀರ್ಘ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಅತ್ಯುತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
None,None,None,None,None,None,None,None,None,None,None,Wound-No,None,None,None,N/A,N/A,Farmer is providing Good Bedding like Rubber mats/Paddy straw/Grass floor. Animal welfare is good & Health,"किसान रबर मैट, धान के भूसे, या घास के फर्श जैसे अच्छे बिस्तर पशु को प्रदान कर रहा है। इससे पशु का कल्याण और स्वास्थ्य अच्छा है।","ರೈತರು ತಮ್ಮ ಹಸುಗಳಿಗೆ ಉತ್ತಮ ನೆಲಹಾಸನ್ನು ಅಂದರೆ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯನ್ನು ಒದಗಿಸಿರುವುದರಿಂದ, ಹಸುಗಳು ಆರೋಗ್ಯವಾಗಿವೆ ಮತ್ತು ಅವುಗಳ ಕಲ್ಯಾಣ ಉತ್ತಮವಾಗಿದೆ.",Continue the Same welfare management practice,पहले  जैसे पशु के देखभाल तरीके जारी रखें।,ರೈತರು  ಈಗಾಗಲೇ ರೂಢಿಸಿಕೊಂಡಿರುವ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯನ್ನು ಮುಂದುವರಿಸುವುದು ಉತ್ತಮ.
None,None,None,None,None,None,None,None,None,None,None,Wound-Ulcerated,None,None,None,N/A,N/A,Animal is not getting Comfortable Bedding upon resting. Sharp floor edges or Stones in the Shed & Paddock causing chronic ulcerated wounds,"आराम करते समय पशु को आरामदायक बिस्तर नहीं मिल रहा है। शेड और पैडॉक में फर्श के नुकीले किनारे या पत्थर हैं, जो पुराने अल्सर वाले घावों का कारण बन सकते हैं।","ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಕೊರತೆಯಿದ್ದು, ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ದೀರ್ಘ ಕಾಲದ ವರೆಗೂ ಮೊಣಕಾಲು & ತೊಡೆಗಳಿಗೆ ಚುಚ್ಚಿ ಗಾಯಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತಿವೆ.",Apply Neem Oil on the Ulcerated wound or Apply Spray. Topicure on wound.Avoid Flies to Prevent Maggot wound. Use Rubber Mats for Animal Resting. Remove the Shrap edges & Sharp Stones from Paddock & Shed.,अल्सर वाले घाव पर नीम का तेल लगाएं या स्प्रे करें। घाव पर टॉपिक्योर करें। मैगॉट घाव से बचने के लिए मक्खियों से दूर रखें। जानवरों की आरामदायक स्थिति के लिए रबर मैट का इस्तेमाल करें। पैडॉक और शेड में नुकीले किनारों और पत्थरों को हटा दें।,"ಹುಣ್ಣುಗಾಯಗಳಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಯನ್ನು ಹಚ್ಚಿ ಮತ್ತು  Spray. Topicure 100ml -1 ನ್ನು ಸಿಂಪಡಿಸುವುದರಿಂದ ಗಾಯಗಳು ಬೇಗನೆ ವಾಸಿಯಾಗಿ, ಹುಳುಗಳು ಬೀಳುವುದು ತಪ್ಪುತ್ತದೆ.ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಒದಗಿಸಿ.  ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ತೆಗೆದುಗಾಕಿ."
None,None,None,None,None,None,None,None,None,None,None,Wound-Dry,None,None,None,N/A,N/A,Animal is not getting Comfortable Bedding upon resting. Sharp floor edges or Stones in the Shed & Paddock causing chronic wounds,आराम करते समय पशु को आरामदायक बिस्तर नहीं मिल रहा है। शेड और पैडॉक में फर्श के नुकीले किनारे या पत्थर पुराने घावों का कारण बनते हैं।,"ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಕೊರತೆಯಿದ್ದು, ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ದೀರ್ಘ ಕಾಲದ ವರೆಗೂ ಮೊಣಕಾಲು & ತೊಡೆಗಳಿಗೆ ಚುಚ್ಚಿ ಗಾಯಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತಿವೆ.",Apply Neem Oil on the dry wound or Apply Spray. Topicure to Prevent Maggot wound. Use Rubber Mats for Animal Resting. Remove the Sharp edges & Sharp  Stones from Paddock & Shed.,सूखे घाव पर नीम का तेल लगाएं या स्प्रे लगाएं। मैगॉट घाव को रोकने के लिए टॉपिक्योर। जानवरों के आराम के लिए रबर मैट का प्रयोग करें। पैडॉक और शेड से नुकीले  किनारों और नुकीले  पत्थरों को हटा दें।,"ಹುಣ್ಣುಗಾಯಗಳಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಯನ್ನು ಹಚ್ಚಿ ಮತ್ತು  Spray. Topicure 100ml -1 ನ್ನು ಸಿಂಪಡಿಸುವುದರಿಂದ ಗಾಯಗಳು ಬೇಗನೆ ವಾಸಿಯಾಗಿ, ಹುಳುಗಳು ಬೀಳುವುದು ತಪ್ಪುತ್ತದೆ.ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಒದಗಿಸಿ.  ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ತೆಗೆದುಗಾಕಿ."
None,None,None,None,None,None,None,None,None,None,None,None,Good,None,None,N/A,N/A,60 Rumination/minute,60 जुगाली /मिनट,60 Rumination/minute,"Animal Rumen Microbial Health is Good, kindly follow the better feeding recommendations.","पशु का रुमेन माइक्रोबियल स्वास्थ्य अच्छा है, कृपया पशु के अच्छे आहार से जुड़े सुझावों का पालन करें।",ಹಸು ಉತ್ತಮವಾಗಿ ಮೆಲಕು ಹಾಕುತ್ತಿದೆ & ಹಸುವಿನ ಹೊಟ್ಟೆಯಲ್ಲಿ ಉತ್ತಮ ಪ್ರಮಾಣದ ಸೂಕ್ಷ್ಮಾಣುಜೇವಿಗಳು ವಾಸಿಸುತ್ತಿವೆ. ಕ ಕೆಳಗೆ ಸೂಚಿಸಲಾದ ಒಳ್ಳೆಯ ಆಹಾರ ಕ್ರಮಗಳನ್ನು ಅಳವಡಿಸಿಕೊಳ್ಳಿ.
None,None,None,None,None,None,None,None,None,None,None,None,Fair,None,None,N/A,N/A,40 Rumination/minute,40 जुगाली/मिनट,40 Rumination/minute,"Animal Rumen Microbial Health is Average, kindly follow the better feeding recommendations. Give Tab. Hepatocare 2 for 5 days & Tab. Ecotse 1 for 5 days","पशु का रुमेन माइक्रोबियल स्वास्थ्य औसत है, कृपया अच्छे आहार संबंधी सुझावों का पालन करें। 5 दिनों के लिए हेपेटोकेयर-2 टैबलेट दें और 5 दिनों के लिए इकोट्से-1 टैबलेट दें।",ಹಸು ಮಧ್ಯಮ ಪ್ರಮಾಣದಲ್ಲಿ ಮೆಲಕು ಹಾಕುತ್ತಿದೆ & ಹಸುವಿನ ಹೊಟ್ಟೆಯಲ್ಲಿ  ಸೂಕ್ಷ್ಮಣುಜೀವಿಗಳ ಪ್ರಮಾಣ ಕಡಿಮೆ ಇದೆ. ಈ ಜೀವಿಗಳ ಪ್ರಮಾಣವನ್ನು ಹೆಚ್ಚಿಸಲು  Tab. Hepatocare 2 ನ್ನು  5 ದಿನಗಳವರೆಗೆ  & Tab. Ecotase 1 ನ್ನು5 ದಿನಗಳವರೆಗೆ ನೀಡಬೇಕು.
None,None,None,None,None,None,None,None,None,None,None,None,Poor,None,None,N/A,N/A,20 Rumination/minute,20  जुगाली/मिनट,20 Rumination/minute,"Animal Rumen Microbial Health is Poor, Kindly follow the better feeding recommendations. Give Tab. Hepatocare 2 for 5 days & Tab. Ecotse 1 for 5 days & Feed Pow. Rumen Fs 100g","पशु का रुमेन माइक्रोबियल स्वास्थ्य खराब है, कृपया अच्छे आहार संबंधी निर्देशों का पालन करें। 5 दिनों के लिए हेपेटोकेयर-2 टैबलेट दें, 5 दिनों के लिए इकोट्से-1 टैबलेट दें, और 100 ग्राम रुमेन-एफएस पाउडर दें।","ಹಸು ಕಡಿಮೆ ಪ್ರಮಾಣದಲ್ಲಿ ಮೆಲಕು ಹಾಕುತ್ತಿದೆ & ಹಸುವಿನ ಹೊಟ್ಟೆಯಲ್ಲಿ  ಸೂಕ್ಷ್ಮಣುಜೀವಿಗಳ ಪ್ರಮಾಣ ತೀರಾ ಕಡಿಮೆ ಇದೆ. ಈ ಜೀವಿಗಳ ಪ್ರಮಾಣವನ್ನು ಹೆಚ್ಚಿಸಲು  Tab. Hepatocare 2 ನ್ನು  5 ದಿನಗಳವರೆಗೆ,  Tab. Ecotase 1 ನ್ನು5 ದಿನಗಳವರೆಗೆ  Pow. Rumen Fs 100  ಗ್ರಾಂ ಒಂದು ದಿನ ನೀಡಬೇಕು."
None,None,None,None,None,None,None,None,None,None,None,None,None,Active,None,N/A,N/A,Rumination is good & Animal is active,जुगाली अच्छी  है और पशु सक्रिय है,ಹಸುವಿನ ಮೆಲಕು ಉತ್ತಮವಾಗಿದೆ & ಹಸು ಚುರುಕಾಗಿರುವುದು ಕಂಡುಬಂದಿದೆ.,Follow all the recommendation to keep active status and Provide Clean drinkinking water 24*7,पशु की अच्छी  स्थिति बनाए रखने  लिए डॉक्टर द्वारा बताए  गए सभी निर्देशों का पालन करें और पशु को हमेशा 24x7 साफ पानी उपलब्ध कराते रहें। ,ಹಸುವಿನ ಕಾರ್ಯಚಟುವಟಿಕೆಗಳನ್ನೂ ಉತ್ತಮವಾಗಿ ಕಾಪಾಡಿಕೊಳ್ಳಲು ಎಲ್ಲ ಶಿಫಾರಸ್ಸುಗಳನ್ನು ತಪ್ಪದೆ ಪಾಲಿಸಿ ಮತ್ತು ಹಸುವಿಗೆ ಸಾಕಷ್ಟು ಪ್ರಮಾಣದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರನ್ನು ಒದಗಿಸಿ.
None,None,None,None,None,None,None,None,None,None,None,None,None,Dull,None,N/A,N/A,Animal may suffering from few disorders,पशु कुछ बीमारियों से पीड़ित हो सकता है। ,ಹಸುವಿನ ಕಾರ್ಯಚಟುವಟಿಕೆ ಕಡಿಮೆ ಇದೆ & ಕೆಲವು ಬಾದೆಗಳಿಂದ ಬಳಲುತ್ತಿರುವುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.,Follow the recommendations given in this report without any deviations to improve animals health status. And Provide Clean drinkinking water 24*7,पशुओं के स्वास्थ्य की स्थिति में सुधार के लिए इस रिपोर्ट में दिए गए निर्देशों का बिना किसी बदलाव के पालन करें और 24x7 साफ पानी उपलब्ध कराएं।,ಹಸುವಿನ ಕಾರ್ಯಚಟುವಟಿಕೆಗಳನ್ನೂ & ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಸುಧಾರಿಸಲು ಈ ರಿಪೋರ್ಟ್ ನಲ್ಲಿ  ತಿಳಿಸಿದ ಎಲ್ಲ ಶಿಫಾರಸ್ಸುಗಳನ್ನು ತಪ್ಪದೆ ಪಾಲಿಸಿ ಮತ್ತು ಹಸುವಿಗೆ ಸಾಕಷ್ಟು ಪ್ರಮಾಣದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರನ್ನು ಒದಗಿಸಿ.
None,None,None,None,None,None,None,None,None,None,None,None,None,Depressed,None,N/A,N/A,Animal may suffering from serious health issue,पशु गंभीर बीमारी  से पीड़ित हो सकता है।,ಹಸುವಿನ ಕಾರ್ಯಚಟುವಟಿಕೆ ಕಡಿಮೆ ಇದೆ & ಹಸುವು ಗಂಭೀರ ಆರೋಗ್ಯ ಸಮಸ್ಯೆಯಿಂದ ಬಳಲುತ್ತಿರಬಹುದು,Follow the recommendations given in this report without any deviations to improve animals health status & Contact Local Veterinarian or Silofortune Doctor for better advices.,पशुओं के स्वास्थ्य की स्थिति में सुधार के लिए इस रिपोर्ट में दिए गए निर्देशों का बिना किसी बदलाव के पालन करें और बेहतर सलाह के लिए स्थानीय पशुचिकित्सक या साइलो फॉर्च्यून के डॉक्टर से संपर्क करें।,ಹಸುವಿನ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಸುಧಾರಿಸಲು ಈ ರಿಪೋರ್ಟ್ ನಲ್ಲಿ  ತಿಳಿಸಿದ ಎಲ್ಲ ಶಿಫಾರಸ್ಸುಗಳನ್ನು ಯಥಾವತ್ತಾಗಿ  ಪಾಲಿಸಿ ಮತ್ತು ಹೆಚ್ಚಿನ ಸಲಹೆಗಳಿಗಾಗಿ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರು ಅಥವಾ ಸೈಲೋ ಫಾರ್ಚ್ಯೂನ್ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.
None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,NO,Poor,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.25,NO,Poor,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.5,NO,Poor,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.75,Physical Check required,Poor,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,Physical Check required,Fair,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.25,Physical Check required,Fair,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5,YES,Good,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.75,YES,Good,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,YES,Good,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.25,YES,Good,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.5,YES,Good,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.75,Physical Check required,Fair,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,Physical Check required,Fair,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.25,Physical Check required,Fair,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.5,Physical Check required,Fair,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.75,Physical Check required,Poor,,,,,,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,Physical Check required,Poor,,,,,,